Timestamp,Latitude,Longitude,Road ID,Speed (km/h),Traffic Flow,Vehicle Count,Weather Conditions,Incident Reports,Day of Week,Hour of Day
07-09-2024 08:00,40.74172214,-116.2316406,R8,23.95374551,Medium,813,Rain,None,Saturday,8
07-09-2024 09:00,51.11285752,-43.69439169,R4,98.36567995,Light,138,Clear,Accident Reported,Sunday,9
07-09-2024 10:00,47.17589095,-82.30871787,R1,85.50401519,Light,1249,Cloudy,None,Monday,10
07-09-2024 11:00,44.77585272,-59.02237413,R8,87.43641565,Heavy,272,Rain,Construction,Tuesday,11
07-09-2024 12:00,36.80833553,-11.18277978,R4,32.52262245,Light,752,Clear,Accident Reported,Wednesday,12
07-09-2024 13:00,36.80790137,-90.10986173,R6,13.4951261,Heavy,853,Cloudy,Construction,Thursday,13
07-09-2024 14:00,35.04550502,-70.79508753,R8,37.29389632,Medium,1343,Rain,Accident Reported,Friday,14
07-09-2024 15:00,49.59117062,-29.40941849,R4,58.33741845,Light,1181,Rain,Construction,Saturday,15
07-09-2024 16:00,44.82007021,-92.56709996,R3,39.39861176,Heavy,575,Clear,None,Sunday,16
07-09-2024 17:00,46.7453064,-110.7701088,R9,84.50821034,Heavy,555,Clear,None,Monday,17
07-09-2024 18:00,34.3705209,-85.2588008,R3,34.43886242,Medium,928,Clear,None,Tuesday,18
07-09-2024 19:00,51.45837734,-100.6695677,R9,96.87266474,Light,994,Cloudy,Accident Reported,Wednesday,19
07-09-2024 20:00,48.98396753,-8.529251484,R2,51.15386455,Light,1484,Clear,None,Thursday,20
07-09-2024 21:00,37.82210399,-23.10636649,R2,85.78207675,Heavy,1124,Rain,Accident Reported,Friday,21
07-09-2024 22:00,37.27284941,-44.05488959,R2,27.49420306,Light,486,Rain,None,Saturday,22
07-09-2024 23:00,37.30128118,-15.51187524,R6,47.02185146,Heavy,447,Clear,None,Sunday,23
08-09-2024 00:00,39.47636037,-23.63971798,R3,72.95609897,Light,289,Clear,Accident Reported,Monday,24
08-09-2024 01:00,43.44561577,-97.63024994,R9,22.45177832,Heavy,604,Fog,Accident Reported,Tuesday,25
08-09-2024 02:00,41.77501034,-12.98217608,R4,21.947088,Light,1314,Rain,None,Wednesday,26
08-09-2024 03:00,39.24212452,-55.33286519,R1,97.25831804,Medium,1492,Cloudy,Accident Reported,Thursday,27
08-09-2024 04:00,45.01335211,-23.1879254,R4,74.31355938,Light,923,Fog,None,Friday,28
08-09-2024 05:00,36.51088949,-12.55865314,R1,13.69607651,Light,1028,Clear,Accident Reported,Saturday,29
08-09-2024 06:00,39.25860367,-81.87138335,R5,45.89388113,Medium,1033,Clear,Construction,Sunday,30
08-09-2024 07:00,40.59451318,-106.8047742,R4,49.01686638,Light,1240,Rain,Construction,Monday,31
08-09-2024 08:00,42.20925972,-92.67057401,R8,76.96383787,Medium,233,Clear,Construction,Tuesday,8
08-09-2024 09:00,48.13316731,-68.78977614,R8,32.57744746,Light,157,Cloudy,Construction,Wednesday,9
08-09-2024 10:00,37.59412808,-21.92002957,R7,26.59003069,Heavy,784,Rain,Construction,Thursday,10
08-09-2024 11:00,43.25621989,-16.79840307,R3,17.278567,Heavy,771,Clear,None,Friday,11
